id_atleta,nome_atleta
1,Romário Guilherme dos Santos
2,Ewerthon Diógenes da Silva
3,Pedro Raul
4,Erick Castillo
5,Lucas Gazal
6,Rodrigo Pinho
7,Wesley Soares Xavier
8,Gilsivan Soares da Silva
9,Alemão
10,Luis Manuel Orejuela
11,Guilherme Oliveira Santos
12,João Victor Santos Sá
13,Jory
14,Lucas Silva Borges
15,Braian Aguirre
16,Wesley Pombo
17,Gabriel Veron
18,Wallace Yan
19,Danilo Tarracha
20,Ricardinho
21,Bryan Angulo
22,Vinícius
23,Sidnei
24,Bruno Fuchs
25,Bruno Cortês
26,Valmir Lucas
27,Nickson Gabriel Reis Silva
28,Danilo Fernandes
29,Mauricio Lemos
30,Uendel Pereira Gonçalves
31,Kaio César Andrade Lima
32,Douglas Telles
33,Nathan Silva
34,Gabriel Appelt Pires
35,Capixaba
36,Paulinho Moccelin
37,Andrey Santos
38,Antônio Carlos dos Santos Aguiar
39,Matheus Antunes Ribeiro
40,Raí Ramos
41,Éverton Cardoso da Silva
42,Maik
43,Mateus Claus
44,Willian José de Souza
45,José Rafael Vivian
46,Marlon Freitas
47,Antonio Thomaz Santos de Barros
48,Adson
49,Luiz Benedetti
50,Ruan Tressoldi
51,Renan Brito Soares
52,Bruno Felipe Lima Teixeira
53,Adriano Correia Claro
54,Lucas Fasson
55,Taylon Vinicius dos Santos Carvalho
56,Ramiro
57,Agustín Doffo
58,João Basso
59,José María Herrera
60,Léo Linck
61,Cassiano Dias Moreira
62,Alejandro Guerra
63,Walter Henrique da Silva
64,Luan Garcia Teixeira
65,Kelvin
66,Vinicius Guedes
67,Kadir Barría
68,Marcelo Benítez
69,Brenner Alves Sabino
70,Khellven Douglas Silva Oliveira
71,José Carlos Cracco Neto
72,Vinícius Vasconcelos Araújo
73,Guilherme Parede
74,Óscar Ruiz
75,John Lennon Silva Santos
76,Arturo Vidal
77,Romarinho
78,Maílton dos Santos de Sá
79,Willian
80,Leonardo Moreira Morais
81,Alex da Silva
82,Gonzalo Carneiro
83,Sebastián Ferreira
84,Marquinho
85,João Paulo Gomes da Costa
86,Rodrigo Varanda
87,Eduard Atuesta
88,Willian Gomes de Siqueira
89,Juan Maldonado Jaimez Júnior
90,Guilherme Madruga
91,Keny Arroyo
92,Emanuel Brítez
93,Brahian Palacios
94,Luis Alberto Suárez
95,Andrés Escobar
96,Jonatan Cristaldo
97,Marcelo Alves
98,Neto Berola
99,Néstor Camacho
100,Crysan
101,Anderson Leite Moraes
102,Douglas Mendes
103,Roberto Cereceda
104,Michel Bastos
105,Dida
106,Arthur Brasiliano Maia
107,Rildo de Andrade Felicissimo
108,Miguel Borja
109,Allan Vieira
110,Sebastián Eguren
111,Roger Duarte de Oliveira
112,Mauro Boselli
113,Nery Bareiro
114,César Henrique Martins
115,Clayson
116,Judson Silva Tavares
117,Wesley Dias Claudino
118,Thiago Ribeiro
119,Henrique Almeida
120,Neilton Mestzk
121,Marcos Paulo Costa do Nascimento
122,Cleberson Martins de Souza
123,Flavinho Valêncio
124,Lucas Esteves
125,Marcelo Rangel Rosa
126,Christian Savio
127,Charles Aránguiz
128,Hyoran
129,Everton Cebolinha
130,Tomás Cuello
131,Reynaldo Cesar Moraes
132,Fernando Peixoto Costanza
133,Paulo Vitor
134,Carlos Sánchez
135,Wesley Lopes Beltrame
136,Leonardo Natel
137,Benjamín Kuscevic
138,Kléber
139,Michael
140,Elano
141,Danilo Luiz da Silva
142,Ebert Willian Amâncio
143,Eduardo Jacinto de Biasi
144,Lázaro Vinícius
145,Pedro Botelho
146,Evander
147,Allan Marques Loureiro
148,Anderson Talisca
149,Ronald Falkoski
150,Carlos Eduardo Santos Oliveira
151,Jhon Cley
152,Júnior Urso
153,Francis Amuzu
154,Matheus Gonçalves
155,Railan dos Santos Reis
156,Gustavinho
157,André Santos
158,Samuel Lino
159,Kelvyn
160,Jan Lucumí
161,Aitor Cantalapiedra
162,Abner Vinícius
163,Thiago Galhardo
164,Ananias Elói Castro Monteiro
165,Agustín Marchesín
166,Aderbar dos Santos Neto
167,Gustavo Nescau
168,Rafael Costa
169,Max
170,Mateo Sanabria
171,Josef de Souza Dias
172,Robson Reis
173,Italo
174,Fábio Santos
175,Bruno Brígido
176,Luan Patrick
177,Andrevaldo Santos
178,Igor Rabello
179,Damián Musto
180,Bento Matheus Krepski
181,Christian Cueva
182,Joel Tagueu
183,José Hugo
184,John
185,Zé Roberto
186,Carlos Gabriel Moreira de Oliveira
187,Adrián Emmanuel Martínez
188,Andrés D'Alessandro
189,Jorge Carrascal
190,Elierce Barbosa de Souza
191,Paulo Marcos de Jesus Ribeiro
192,Gabriel Taliari
193,Fabiano da Silva Souza
194,Maycon Douglas
195,Arthur Henrique
196,André Andrade de Castro
197,Léo Moura
198,Joaquín Correa
199,Negueba
200,Bruno Alves de Souza
201,Philippe Coutinho
202,Guilherme Amorim
203,Liniker da Silva Moreira
204,Diogo José Gonçalves da Silva
205,Fabiano
206,Calebe Gonçalves Ferreira da Silva
207,Lucas Cavalcante Silva Afonso
208,Luciano Castán
209,Fernando Gabriel Vougado Ribeiro
210,Emerson da Conceição
211,Hélder Maurílio da Silva Ferreira
212,César Pinares
213,Clayton Sampaio
214,Rayan
215,Aderlan Silva
216,Alan Franco Palma
217,Alison Wágner Lira Ferreira
218,Leandro Guerreiro
219,Anderson Conceição
220,Ricardo de Souza Silva
221,Jefferson
222,Valentín Depietri
223,Kaio Silva Mendes
224,Fellipe Mateus
225,Adyson
226,Diego Souza
227,Rhaldney
228,Derek
229,Taiberson Ruan Menezes Nunes
230,Romário de Souza Faria Júnior
231,Felipe Menezes
232,Renan Martins Pereira
233,Zé Ricardo
234,Claudinei Junio de Souza
