partida_id,rodata,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,id_clube
1,1,0,0,,0,,0,0,0,0,0,12
1,1,0,0,,0,,0,0,0,0,0,40
2,1,0,0,,0,,0,0,0,0,0,15
2,1,0,0,,0,,0,0,0,0,0,6
3,1,0,0,,0,,0,0,0,0,0,41
3,1,0,0,,0,,0,0,0,0,0,11
4,1,0,0,,0,,0,0,0,0,0,16
4,1,0,0,,0,,0,0,0,0,0,23
5,1,0,0,,0,,0,0,0,0,0,10
5,1,0,0,,0,,0,0,0,0,0,44
6,1,0,0,,0,,0,0,0,0,0,14
6,1,0,0,,0,,0,0,0,0,0,9
7,1,0,0,,0,,0,0,0,0,0,25
7,1,0,0,,0,,0,0,0,0,0,2
8,1,0,0,,0,,0,0,0,0,0,32
8,1,0,0,,0,,0,0,0,0,0,37
9,1,0,0,,0,,0,0,0,0,0,30
9,1,0,0,,0,,0,0,0,0,0,1
10,1,0,0,,0,,0,0,0,0,0,21
10,1,0,0,,0,,0,0,0,0,0,31
11,1,0,0,,0,,0,0,0,0,0,39
11,1,0,0,,0,,0,0,0,0,0,28
12,1,0,0,,0,,0,0,0,0,0,35
12,1,0,0,,0,,0,0,0,0,0,8
13,2,0,0,,0,,0,0,0,0,0,32
13,2,0,0,,0,,0,0,0,0,0,9
14,2,0,0,,0,,0,0,0,0,0,35
14,2,0,0,,0,,0,0,0,0,0,28
15,2,0,0,,0,,0,0,0,0,0,11
15,2,0,0,,0,,0,0,0,0,0,10
16,2,0,0,,0,,0,0,0,0,0,6
16,2,0,0,,0,,0,0,0,0,0,40
17,2,0,0,,0,,0,0,0,0,0,37
17,2,0,0,,0,,0,0,0,0,0,41
18,2,0,0,,0,,0,0,0,0,0,31
18,2,0,0,,0,,0,0,0,0,0,8
19,2,0,0,,0,,0,0,0,0,0,23
19,2,0,0,,0,,0,0,0,0,0,21
20,2,0,0,,0,,0,0,0,0,0,44
20,2,0,0,,0,,0,0,0,0,0,25
21,2,0,0,,0,,0,0,0,0,0,39
21,2,0,0,,0,,0,0,0,0,0,15
22,2,0,0,,0,,0,0,0,0,0,1
22,2,0,0,,0,,0,0,0,0,0,14
23,2,0,0,,0,,0,0,0,0,0,30
23,2,0,0,,0,,0,0,0,0,0,2
24,2,0,0,,0,,0,0,0,0,0,16
24,2,0,0,,0,,0,0,0,0,0,12
25,4,0,0,,0,,0,0,0,0,0,23
25,4,0,0,,0,,0,0,0,0,0,28
37,3,0,0,,0,,0,0,0,0,0,37
37,3,0,0,,0,,0,0,0,0,0,10
38,3,0,0,,0,,0,0,0,0,0,31
38,3,0,0,,0,,0,0,0,0,0,28
39,3,0,0,,0,,0,0,0,0,0,15
39,3,0,0,,0,,0,0,0,0,0,35
40,3,0,0,,0,,0,0,0,0,0,23
40,3,0,0,,0,,0,0,0,0,0,8
41,3,0,0,,0,,0,0,0,0,0,21
41,3,0,0,,0,,0,0,0,0,0,12
42,3,0,0,,0,,0,0,0,0,0,2
42,3,0,0,,0,,0,0,0,0,0,14
43,3,0,0,,0,,0,0,0,0,0,32
43,3,0,0,,0,,0,0,0,0,0,1
44,3,0,0,,0,,0,0,0,0,0,11
44,3,0,0,,0,,0,0,0,0,0,25
45,3,0,0,,0,,0,0,0,0,0,40
45,3,0,0,,0,,0,0,0,0,0,39
46,3,0,0,,0,,0,0,0,0,0,16
46,3,0,0,,0,,0,0,0,0,0,6
47,3,0,0,,0,,0,0,0,0,0,44
47,3,0,0,,0,,0,0,0,0,0,30
48,3,0,0,,0,,0,0,0,0,0,9
48,3,0,0,,0,,0,0,0,0,0,41
26,4,0,0,,0,,0,0,0,0,0,25
26,4,0,0,,0,,0,0,0,0,0,37
27,4,0,0,,0,,0,0,0,0,0,21
27,4,0,0,,0,,0,0,0,0,0,6
28,4,0,0,,0,,0,0,0,0,0,35
28,4,0,0,,0,,0,0,0,0,0,40
29,4,0,0,,0,,0,0,0,0,0,15
29,4,0,0,,0,,0,0,0,0,0,31
30,4,0,0,,0,,0,0,0,0,0,14
30,4,0,0,,0,,0,0,0,0,0,44
31,4,0,0,,0,,0,0,0,0,0,1
31,4,0,0,,0,,0,0,0,0,0,41
32,4,0,0,,0,,0,0,0,0,0,12
32,4,0,0,,0,,0,0,0,0,0,8
33,4,0,0,,0,,0,0,0,0,0,11
33,4,0,0,,0,,0,0,0,0,0,30
34,4,0,0,,0,,0,0,0,0,0,10
34,4,0,0,,0,,0,0,0,0,0,9
35,4,0,0,,0,,0,0,0,0,0,32
35,4,0,0,,0,,0,0,0,0,0,2
36,4,0,0,,0,,0,0,0,0,0,16
36,4,0,0,,0,,0,0,0,0,0,39
144,12,0,0,,0,,0,0,0,0,0,41
144,12,0,0,,0,,0,0,0,0,0,30
49,5,0,0,,0,,0,0,0,0,0,35
49,5,0,0,,0,,0,0,0,0,0,37
50,5,0,0,,0,,0,0,0,0,0,1
50,5,0,0,,0,,0,0,0,0,0,6
51,5,0,0,,0,,0,0,0,0,0,28
51,5,0,0,,0,,0,0,0,0,0,41
52,5,0,0,,0,,0,0,0,0,0,12
52,5,0,0,,0,,0,0,0,0,0,2
53,5,0,0,,0,,0,0,0,0,0,8
53,5,0,0,,0,,0,0,0,0,0,10
54,5,0,0,,0,,0,0,0,0,0,14
54,5,0,0,,0,,0,0,0,0,0,40
55,5,0,0,,0,,0,0,0,0,0,25
55,5,0,0,,0,,0,0,0,0,0,21
56,5,0,0,,0,,0,0,0,0,0,15
56,5,0,0,,0,,0,0,0,0,0,32
57,5,0,0,,0,,0,0,0,0,0,44
57,5,0,0,,0,,0,0,0,0,0,23
58,5,0,0,,0,,0,0,0,0,0,30
58,5,0,0,,0,,0,0,0,0,0,16
59,5,0,0,,0,,0,0,0,0,0,9
59,5,0,0,,0,,0,0,0,0,0,39
60,5,0,0,,0,,0,0,0,0,0,11
60,5,0,0,,0,,0,0,0,0,0,31
61,6,0,0,,0,,0,0,0,0,0,35
61,6,0,0,,0,,0,0,0,0,0,11
62,6,0,0,,0,,0,0,0,0,0,39
62,6,0,0,,0,,0,0,0,0,0,37
63,6,0,0,,0,,0,0,0,0,0,21
63,6,0,0,,0,,0,0,0,0,0,10
64,6,0,0,,0,,0,0,0,0,0,30
64,6,0,0,,0,,0,0,0,0,0,40
65,6,0,0,,0,,0,0,0,0,0,41
65,6,0,0,,0,,0,0,0,0,0,8
66,6,0,0,,0,,0,0,0,0,0,16
66,6,0,0,,0,,0,0,0,0,0,25
67,6,0,0,,0,,0,0,0,0,0,44
67,6,0,0,,0,,0,0,0,0,0,31
68,6,0,0,,0,,0,0,0,0,0,32
68,6,0,0,,0,,0,0,0,0,0,28
69,6,0,0,,0,,0,0,0,0,0,9
69,6,0,0,,0,,0,0,0,0,0,6
70,6,0,0,,0,,0,0,0,0,0,15
70,6,0,0,,0,,0,0,0,0,0,14
71,6,0,0,,0,,0,0,0,0,0,2
71,6,0,0,,0,,0,0,0,0,0,23
72,6,0,0,,0,,0,0,0,0,0,1
72,6,0,0,,0,,0,0,0,0,0,12
73,7,0,0,,0,,0,0,0,0,0,21
73,7,0,0,,0,,0,0,0,0,0,41
74,7,0,0,,0,,0,0,0,0,0,37
74,7,0,0,,0,,0,0,0,0,0,6
75,7,0,0,,0,,0,0,0,0,0,15
75,7,0,0,,0,,0,0,0,0,0,30
76,7,0,0,,0,,0,0,0,0,0,8
