partida_id,rodata,minuto,tipo_de_gol,id_clube,id_atleta
4607,1,31,,9,1507
4607,1,45,Penalty,9,917
4607,1,59,Gol Contra,9,1460
4608,1,6,,10,127
4612,1,90,,30,2407
4612,1,80,Penalty,37,148
4612,1,63,,30,288
4611,1,13,,2,38
4611,1,22,,2,2381
4611,1,56,,2,2059
4610,1,16,,15,1283
4615,1,80,,28,343
4615,1,73,,18,2321
4616,1,83,,38,2033
4616,1,88,,38,1022
4616,1,12,,14,1465
4618,2,45,,9,1507
4620,2,36,,21,255
4620,2,78,,15,2260
4620,2,83,,15,1032
4620,2,11,,21,560
4622,2,50,,30,774
4622,2,90+2,,2,38
4619,2,75,,7,602
4619,2,9,,10,823
4619,2,35,,10,823
4619,2,64,,7,1448
4621,2,80,,8,1981
4621,2,9,,8,1801
4626,2,12,,18,2428
4626,2,38,,18,164
4626,2,37,,20,337
4623,2,74,,37,548
4623,2,8,,37,844
4624,2,11,,6,803
4624,2,22,,6,716
4624,2,84,,35,668
4625,2,82,,16,44
4628,3,75,Penalty,30,190
4628,3,24,,15,1181
4628,3,40,,15,1032
4628,3,36,,30,288
4628,3,83,,30,2407
4629,3,22,,2,1390
4629,3,72,,2,543
4629,3,30,,11,2413
4629,3,61,,11,2119
4630,3,88,,9,1658
4630,3,54,,21,1890
4630,3,83,,21,1890
4631,3,14,,14,1122
4634,3,14,,41,1751
4634,3,11,,38,135
4634,3,50,,41,767
4634,3,31,,38,240
4634,3,60,,41,1944
4634,3,73,,41,1944
4633,3,59,,37,1273
4632,3,13,,10,188
4632,3,45+1,,10,127
4632,3,78,,18,2048
4635,3,78,,8,1588
4636,3,69,,16,1622
4638,4,32,,38,240
4638,4,16,,38,1085
4637,4,54,,10,188
4637,4,67,,10,283
4637,4,52,,15,1780
4639,4,57,,7,732
4639,4,23,,7,1448
4639,4,73,,7,732
4639,4,52,,7,1448
4639,4,81,,7,669
4639,4,55,,7,732
4642,4,55,,35,2164
4642,4,71,Penalty,35,1616
4642,4,37,,30,2407
4640,4,30,,6,1791
4640,4,65,,6,1791
4640,4,90+2,,20,1775
4641,4,11,,9,917
4641,4,87,,9,1802
4643,4,81,,2,2059
4643,4,49,,8,710
4644,4,44,,28,343
4644,4,62,,28,2180
4645,4,86,,18,2428
4646,4,39,,21,502
4646,4,90+1,,37,237
4647,5,54,,16,1797
4647,5,70,,16,1321
4648,5,45+1,,30,1710
4648,5,69,,30,1482
4648,5,23,,11,2140
4648,5,11,,30,1710
4648,5,55,,11,1937
4651,5,23,,2,1698
4651,5,90+1,,2,1698
4649,5,37,,6,1837
4650,5,48,,31,1183
4652,5,71,,15,122
4652,5,88,,20,1775
4653,5,49,,38,1580
4655,5,75,,35,1616
4655,5,81,,35,1616
4655,5,38,,28,853
4658,6,11,,41,1751
4658,6,90+2,,37,148
4657,6,75,Penalty,11,2140
4657,6,21,,10,662
4659,6,51,,30,1710
4659,6,77,,30,2407
4660,6,23,,14,1122
4662,6,73,,9,1658
4662,6,26,Penalty,2,1676
4662,6,53,Gol Contra,9,207
4662,6,76,,9,1507
4662,6,42,,9,63
4662,6,45,,2,1390
4662,6,66,,9,63
4663,6,81,,6,1103
4663,6,6,,7,602
4663,6,44,,6,1837
4661,6,85,,15,1553
4661,6,59,Penalty,8,757
4665,6,69,,16,1617
4665,6,9,,28,1721
4665,6,39,Penalty,28,853
4665,6,26,,16,2192
4664,6,37,,38,240
4666,6,12,,35,860
4666,6,62,,35,2216
4666,6,17,Gol Contra,35,2005
4666,6,65,,21,560
4666,6,90,,21,1499
4667,7,4,,9,976
4668,7,61,,2,207
4671,7,38,,8,757
4671,7,28,,18,1287
4671,7,20,,8,77
4671,7,55,Penalty,8,757
4671,7,68,,8,77
4672,7,56,,15,1780
4672,7,58,Gol Contra,15,1393
4670,7,5,,16,1932
4673,7,70,,30,88
4673,7,88,,30,2407
4673,7,39,,10,1088
4673,7,43,,30,1710
4674,7,43,,7,1448
4674,7,69,,21,560
4675,7,42,,20,1775
4675,7,47,,20,1599
4677,8,58,,14,334
4678,8,90+4,,7,602
4678,8,61,,7,567
4680,8,25,,10,662
4680,8,79,,10,662
4682,8,68,,8,1588
4684,8,65,,35,2171
