ID,rodata,data,hora,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,id_mandante,id_visitante
1,1,2003-03-29,16:00,,,,,Guarani, Brinco de Ouro,4,2,SP,RJ,0.0,40,12
2,1,2003-03-29,16:00,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,0.0,15,6
3,1,2003-03-30,16:00,,,,,-, Maracanã,1,1,RJ,PR,0.0,41,11
4,1,2003-03-30,16:00,,,,,-, Serra Dourada,2,2,GO,PA,0.0,16,23
5,1,2003-03-30,16:00,,,,,-, Beira Rio,1,1,RS,SP,0.0,10,44
6,1,2003-03-30,16:00,,,,,Criciuma, Heriberto Hulse,2,0,SC,RJ,0.0,14,9
7,1,2003-03-30,16:00,,,,,-, Alfredo Jaconi,2,2,RS,SP,0.0,25,2
8,1,2003-03-30,16:00,,,,,-, Castelão,0,0,CE,BA,0.0,32,37
9,1,2003-03-30,16:00,,,,,-, Mineirão,2,2,MG,SP,0.0,30,1
10,1,2003-03-30,16:00,,,,,-, Barradão,1,1,BA,SC,0.0,21,31
11,1,2003-03-30,18:00,,,,,-, Vila Belmiro,2,2,SP,PR,0.0,28,39
12,1,2003-03-30,18:00,,,,,Atletico-MG, Pacaembu,0,3,SP,MG,0.0,8,35
13,2,2003-04-05,16:00,,,,,-, Maracanã,1,1,RJ,CE,0.0,9,32
14,2,2003-04-05,16:00,,,,,-, Mineirão,0,0,MG,SP,0.0,35,28
15,2,2003-04-05,16:00,,,,,Internacional, Couto Pereira,0,1,PR,RS,0.0,11,10
16,2,2003-04-05,18:00,,,,,Gremio, Olímpico,3,1,RS,SP,0.0,6,40
17,2,2003-04-06,16:00,,,,,Flamengo, Fonte Nova,1,2,BA,RJ,0.0,37,41
18,2,2003-04-06,16:00,,,,,-, Orlando Scarpelli,3,3,SC,SP,0.0,31,8
19,2,2003-04-06,16:00,,,,,Vitoria, Mangueirão,1,2,PA,BA,0.0,23,21
20,2,2003-04-06,16:00,,,,,Ponte Preta, Moisés Lucarelli,1,0,SP,RS,0.0,44,25
21,2,2003-04-06,16:00,,,,,Parana, Pinheirão,3,0,PR,PR,0.0,39,15
22,2,2003-04-06,16:00,,,,,Sao Caetano, Anacleto Campanella,3,2,SP,SC,0.0,1,14
23,2,2003-04-06,18:00,,,,,Cruzeiro, Morumbi,2,4,SP,MG,0.0,2,30
24,2,2003-04-06,18:00,,,,,Vasco, São Januário,6,4,RJ,GO,0.0,12,16
25,4,2003-04-09,21:40,,,,,Paysandu, Mangueirão,2,1,PA,SP,0.0,23,28
37,3,2003-04-12,16:00,,,,,Internacional, Beira Rio,2,0,RS,BA,0.0,10,37
38,3,2003-04-12,16:00,,,,,Santos, Vila Belmiro,2,0,SP,SC,0.0,28,31
39,3,2003-04-12,16:00,,,,,Atletico-MG, Arena da Baixada,1,2,PR,MG,0.0,15,35
40,3,2003-04-12,18:00,,,,,Corinthians, Pacaembu,6,1,SP,PA,0.0,8,23
41,3,2003-04-13,16:00,,,,,Vitoria, Barradão,2,1,BA,RJ,0.0,21,12
42,3,2003-04-13,16:00,,,,,-, Heriberto Hulse,1,1,SC,SP,0.0,14,2
43,3,2003-04-13,16:00,,,,,-, Presidente Vargas,1,1,CE,SP,0.0,32,1
44,3,2003-04-13,16:00,,,,,Juventude, Alfredo Jaconi,2,1,RS,PR,0.0,25,11
45,3,2003-04-13,16:00,,,,,Guarani, Brinco de Ouro,2,0,SP,PR,0.0,40,39
46,3,2003-04-13,16:00,,,,,-, Serra Dourada,1,1,GO,RS,0.0,16,6
47,3,2003-04-13,18:00,,,,,Cruzeiro, Mineirão,3,0,MG,SP,0.0,30,44
48,3,2003-04-13,18:00,,,,,Flamengo, Maracanã,4,1,RJ,RJ,0.0,41,9
26,4,2003-04-16,20:30,,,,,Bahia, Fonte Nova,3,1,BA,RS,0.0,37,25
27,4,2003-04-16,20:30,,,,,Gremio, Olímpico,2,1,RS,BA,0.0,6,21
28,4,2003-04-16,20:30,,,,,Atletico-MG, Mineirão,3,2,MG,SP,0.0,35,40
